County,County Code,Race,Race Code,Education,Death Rate
"San Bernardino County, CA",6071,Black or African American,2054-5,9th through 12th grade with no diploma,10.64
"San Bernardino County, CA",6071,Black or African American,2054-5,High school graduate or GED completed,12.26
"San Bernardino County, CA",6071,Black or African American,2054-5,"Some college credit, but not a degree",11.54
"San Bernardino County, CA",6071,Black or African American,2054-5,"Associate degree (AA, AS)",14.58
"San Bernardino County, CA",6071,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",5.28
"San Bernardino County, CA",6071,Black or African American,2054-5,"Master's degree (MA, MS)",10.5
"San Diego County, CA",6073,Black or African American,2054-5,9th through 12th grade with no diploma,4.81
"San Diego County, CA",6073,Black or African American,2054-5,High school graduate or GED completed,9.43
"San Diego County, CA",6073,Black or African American,2054-5,"Some college credit, but not a degree",7.75
"San Diego County, CA",6073,Black or African American,2054-5,"Associate degree (AA, AS)",10.25
"San Diego County, CA",6073,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",7.07
"San Diego County, CA",6073,Black or African American,2054-5,Unknown/Not on certificate,12.18
"San Francisco County, CA",6075,Black or African American,2054-5,9th through 12th grade with no diploma,10.48
"San Francisco County, CA",6075,Black or African American,2054-5,High school graduate or GED completed,12.62
"San Francisco County, CA",6075,Black or African American,2054-5,"Some college credit, but not a degree",8.56
"San Francisco County, CA",6075,Black or African American,2054-5,Unknown/Not on certificate,42.02
"San Joaquin County, CA",6077,Black or African American,2054-5,9th through 12th grade with no diploma,13.91
"San Joaquin County, CA",6077,Black or African American,2054-5,High school graduate or GED completed,12.85
"San Joaquin County, CA",6077,Black or African American,2054-5,"Some college credit, but not a degree",13.08
"Santa Clara County, CA",6085,Black or African American,2054-5,"Some college credit, but not a degree",7.78
"Solano County, CA",6095,Black or African American,2054-5,High school graduate or GED completed,10.87
"Solano County, CA",6095,Black or African American,2054-5,"Some college credit, but not a degree",7.76
"Stanislaus County, CA",6099,Black or African American,2054-5,High school graduate or GED completed,14.33
"Unidentified Counties, CA",6999,Black or African American,2054-5,High school graduate or GED completed,6.55
"Unidentified Counties, CA",6999,Black or African American,2054-5,"Some college credit, but not a degree",12.47
"Adams County, CO",8001,Black or African American,2054-5,"Some college credit, but not a degree",19.45
"Arapahoe County, CO",8005,Black or African American,2054-5,9th through 12th grade with no diploma,13.05
"Arapahoe County, CO",8005,Black or African American,2054-5,High school graduate or GED completed,9.25
"Arapahoe County, CO",8005,Black or African American,2054-5,"Some college credit, but not a degree",8.23
"Arapahoe County, CO",8005,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",15
"Arapahoe County, CO",8005,Black or African American,2054-5,Excluded,15.34
"Denver County, CO",8031,Black or African American,2054-5,9th through 12th grade with no diploma,10.9
"Denver County, CO",8031,Black or African American,2054-5,High school graduate or GED completed,12.19
"Denver County, CO",8031,Black or African American,2054-5,"Some college credit, but not a degree",7.57
"Denver County, CO",8031,Black or African American,2054-5,Excluded,10.93
"El Paso County, CO",8041,Black or African American,2054-5,High school graduate or GED completed,12.22
"El Paso County, CO",8041,Black or African American,2054-5,"Some college credit, but not a degree",8.35
"Fairfield County, CT",9001,Black or African American,2054-5,Excluded,10.51
"Hartford County, CT",9003,Black or African American,2054-5,Excluded,11.3
"New Haven County, CT",9009,Black or African American,2054-5,Excluded,10.52
"New London County, CT",9011,Black or African American,2054-5,Excluded,10.33
"Unidentified Counties, CT",9999,Black or African American,2054-5,Excluded,9.46
