,Area name,GEOID,Race,Race Code,Education,Death Rate
79,San Bernardino County,6071,Black or African American,2054-5,"Associate degree (AA, AS)",14.58
80,San Bernardino County,6071,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",5.28
81,San Bernardino County,6071,Black or African American,2054-5,"Master's degree (MA, MS)",10.5
82,San Diego County,6073,Black or African American,2054-5,9th through 12th grade with no diploma,4.81
83,San Diego County,6073,Black or African American,2054-5,High school graduate or GED completed,9.43
84,San Diego County,6073,Black or African American,2054-5,"Some college credit, but not a degree",7.75
85,San Diego County,6073,Black or African American,2054-5,"Associate degree (AA, AS)",10.25
86,San Diego County,6073,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",7.07
87,San Diego County,6073,Black or African American,2054-5,Unknown/Not on certificate,12.18
88,San Francisco County,6075,Black or African American,2054-5,9th through 12th grade with no diploma,10.48
89,San Francisco County,6075,Black or African American,2054-5,High school graduate or GED completed,12.62
90,San Francisco County,6075,Black or African American,2054-5,"Some college credit, but not a degree",8.56
91,San Francisco County,6075,Black or African American,2054-5,Unknown/Not on certificate,42.02
92,San Joaquin County,6077,Black or African American,2054-5,9th through 12th grade with no diploma,13.91
93,San Joaquin County,6077,Black or African American,2054-5,High school graduate or GED completed,12.85
94,San Joaquin County,6077,Black or African American,2054-5,"Some college credit, but not a degree",13.08
95,Santa Clara County,6085,Black or African American,2054-5,"Some college credit, but not a degree",7.78
96,Solano County,6095,Black or African American,2054-5,High school graduate or GED completed,10.87
97,Solano County,6095,Black or African American,2054-5,"Some college credit, but not a degree",7.76
98,Stanislaus County,6099,Black or African American,2054-5,High school graduate or GED completed,14.33
99,Unidentified Counties,6999,Black or African American,2054-5,High school graduate or GED completed,6.55
100,Unidentified Counties,6999,Black or African American,2054-5,"Some college credit, but not a degree",12.47
101,Adams County,8001,Black or African American,2054-5,"Some college credit, but not a degree",19.45
102,Arapahoe County,8005,Black or African American,2054-5,9th through 12th grade with no diploma,13.05
103,Arapahoe County,8005,Black or African American,2054-5,High school graduate or GED completed,9.25
104,Arapahoe County,8005,Black or African American,2054-5,"Some college credit, but not a degree",8.23
105,Arapahoe County,8005,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",15
